,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,158.799555134,87.0459542736,737.496907162,-430.670681314,-430.670681314,1639.28246658
3,158.799555134,87.0459542736,737.496907162,-430.670681314,-430.670681314,1639.28246658
4,161.044658486,83.0122574201,737.204023553,-366.689507634,-366.689507634,1378.50792248
5,161.044658486,83.0122574201,737.204023553,-366.689507634,-366.689507634,1378.50792248
6,157.918808037,82.8189841499,870.893204734,-387.022221848,-387.022221848,1277.63980471
7,157.918808037,82.8189841499,870.893204734,-387.022221848,-387.022221848,1277.63980471
8,144.266019221,89.788692252,1245.42476516,-477.161296814,-477.161296814,1090.24420211
9,144.266019221,89.788692252,1245.42476516,-477.161296814,-477.161296814,1090.24420211
10,126.187833822,95.6920335114,1442.58034015,-443.704127978,-443.704127978,909.157645151
11,126.187833822,95.6920335114,1442.58034015,-443.704127978,-443.704127978,909.157645151
12,108.547461903,101.369414127,1394.24096295,-319.953774345,-319.953774345,685.691700389
13,108.547461903,101.369414127,1394.24096295,-319.953774345,-319.953774345,685.691700389
14,96.4763162607,103.747527658,1160.73373051,-161.753643947,-161.753643947,589.381145894
15,96.4763162607,103.747527658,1160.73373051,-161.753643947,-161.753643947,589.381145894
16,89.0946464343,104.099914864,918.931022019,-86.4534870343,-86.4534870343,545.510495784
17,89.0946464343,104.099914864,918.931022019,-86.4534870343,-86.4534870343,545.510495784
18,82.920171371,104.02141129,708.763235245,-23.465977258,-23.465977258,513.040711912
19,82.920171371,104.02141129,708.763235245,-23.465977258,-23.465977258,513.040711912
20,80.2781312168,104.403048326,608.180073154,17.622409377,17.622409377,496.314395305
21,80.2781312168,104.403048326,608.180073154,17.622409377,17.622409377,496.314395305
22,80.0189735927,105.552236987,577.300648759,28.9543989453,28.9543989453,488.157220585
23,80.0189735927,105.552236987,577.300648759,28.9543989453,28.9543989453,488.157220585
24,81.161952862,107.535679714,559.898772271,38.374666644,38.374666644,488.296791931
25,81.161952862,107.535679714,559.898772271,38.374666644,38.374666644,488.296791931
26,82.4648462365,110.396517942,552.781338017,47.6843694568,47.6843694568,482.58639423
27,82.4648462365,110.396517942,552.781338017,47.6843694568,47.6843694568,482.58639423
28,84.0655201982,113.225895579,531.046117784,48.5704269827,48.5704269827,467.998648254
29,84.0655201982,113.225895579,531.046117784,48.5704269827,48.5704269827,467.998648254
30,86.2108475498,115.784396061,528.177071796,38.3511321261,38.3511321261,443.750417269
31,86.2108475498,115.784396061,528.177071796,38.3511321261,38.3511321261,443.750417269
32,86.9037418831,137.260454545,470.730191544,-85.9106068957,-85.9106068957,2263.44632027
33,86.9037418831,137.260454545,470.730191544,-85.9106068957,-85.9106068957,2263.44632027
34,86.3156733834,164.017204577,414.725103706,-231.593716546,-231.593716546,3515.22231145
35,86.3156733834,164.017204577,414.725103706,-231.593716546,-231.593716546,3515.22231145
36,85.1018728202,183.265903531,428.596230781,-319.396187718,-319.396187718,3623.78905278
37,85.1018728202,183.265903531,428.596230781,-319.396187718,-319.396187718,3623.78905278
38,83.8877138247,199.572325217,455.628610206,-326.285138887,-326.285138887,3184.86638498
39,83.8877138247,199.572325217,455.628610206,-326.285138887,-326.285138887,3184.86638498
40,82.7974550803,216.805068866,475.786036817,-214.496444689,-214.496444689,2208.81769139
41,82.7974550803,216.805068866,475.786036817,-214.496444689,-214.496444689,2208.81769139
42,81.6767972321,231.138724852,509.913897726,-65.283708552,-65.283708552,980.588614367
43,81.6767972321,231.138724852,509.913897726,-65.283708552,-65.283708552,980.588614367
44,81.5169122327,235.911264337,544.637741556,1.07647824202,1.07647824202,469.99701106
45,81.5169122327,235.911264337,544.637741556,1.07647824202,1.07647824202,469.99701106
46,81.2475019469,235.531890606,536.031773591,0.605029918987,0.605029918987,455.700226611
47,81.2475019469,235.531890606,536.031773591,0.605029918987,0.605029918987,455.700226611
48,81.1467270252,235.316275157,573.808560702,-6.27543097729,-6.27543097729,469.809980706
49,81.1467270252,235.316275157,573.808560702,-6.27543097729,-6.27543097729,469.809980706
50,81.3017058072,232.933665811,583.33377394,-1.44840248426,-1.44840248426,488.210472933
51,81.3017058072,232.933665811,583.33377394,-1.44840248426,-1.44840248426,488.210472933
52,81.34635216,229.544285732,576.496188557,1.1882393852,1.1882393852,490.774919443
53,81.34635216,229.544285732,576.496188557,1.1882393852,1.1882393852,490.774919443
54,80.9041274337,225.040447787,560.701306639,10.0256509041,10.0256509041,464.539450802
55,80.9041274337,225.040447787,560.701306639,10.0256509041,10.0256509041,464.539450802
56,80.6822485153,220.852944681,557.114804112,-0.577019314539,-0.577019314539,444.72533757
