,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,66.5882138603,161.357944929,985.095302,366.488760696,366.488760696,2494.04293257
9,64.4900036652,169.591755969,819.623112118,146.297661324,146.297661324,1801.98273306
10,61.5636600634,169.937647644,603.490633196,-27.3261530634,-27.3261530634,2113.05345406
11,61.8490302433,170.120719647,529.993563505,-197.829034874,-197.829034874,2534.56641204
12,62.0670950074,182.320676217,510.688779227,-373.067518512,-373.067518512,3626.18403315
13,64.6883532201,190.95847228,620.071300325,-424.043270372,-424.043270372,3662.93189462
14,65.8797972323,198.69568091,689.374033245,-575.59967135,-575.59967135,4003.37981234
15,70.2533873505,205.92529458,941.832380138,-879.096607927,-879.096607927,4338.7258783
16,74.8924735239,210.334912067,1207.78494024,-1272.55225768,-1272.55225768,4549.8469719
17,76.7682017204,208.989961123,1266.47293219,-1381.81239881,-1381.81239881,4646.88817453
18,82.1425427449,205.146880776,1425.77011117,-1494.36600091,-1494.36600091,4402.07905088
19,81.9346790202,209.3828125,1589.15661674,-1709.99144079,-1709.99144079,4300.53058469
20,77.6266371014,213.756349818,1693.46981043,-1735.14406172,-1735.14406172,4391.19763007
21,76.9577436917,210.709698404,1680.74181443,-1633.47066128,-1633.47066128,5380.28184136
22,80.3473435047,205.799242726,1626.21225776,-1624.67670231,-1624.67670231,4952.26339299
23,87.9479809793,180.507803595,1293.61729941,-957.239743844,-957.239743844,3293.83976604
24,93.2930303628,157.839338525,892.142890121,-175.097575785,-175.097575785,1158.95883499
25,94.2743983027,152.28611343,831.539081224,44.3450933765,44.3450933765,582.121917235
26,92.2147832377,151.357096888,776.10668206,21.1254840054,21.1254840054,519.188687592
27,92.2927816901,150.689568662,725.061286924,-16.4683103318,-16.4683103318,479.490781272
28,92.4983798522,150.718228165,678.880052799,-24.3222115719,-24.3222115719,458.235944307
29,92.9956456683,150.876146443,667.10325344,-18.3905237983,-18.3905237983,456.812108119
30,93.2597016212,150.960379657,657.98270267,-16.0621573893,-16.0621573893,457.359595638
31,93.543944808,151.087798132,665.729643816,-14.7729247005,-14.7729247005,458.98963944
32,93.7149206315,151.609650436,668.2153838,-15.9889948592,-15.9889948592,466.780122228
33,93.957884722,151.596209812,669.067280582,-11.9729023547,-11.9729023547,464.395933995
34,94.2425308773,151.568813884,670.713661674,-9.14106662117,-9.14106662117,463.795521186
35,94.4276966494,151.498970158,677.189310035,-6.74703788441,-6.74703788441,465.71329628
36,94.5973767591,151.391512483,683.320296869,-7.41720531414,-7.41720531414,467.717694836
37,94.6949945341,151.512429575,702.300504032,-10.1145106063,-10.1145106063,472.130900997
38,94.6918380868,151.525691991,706.191524489,-12.7992981285,-12.7992981285,470.874404021
39,95.0428798527,151.41880543,700.076517406,-13.7216036256,-13.7216036256,468.868157438
40,95.1652597612,149.559329749,684.389953938,-19.4078086665,-19.4078086665,460.934433489
41,95.5446647612,146.877965307,666.134948292,-20.6579580355,-20.6579580355,475.974534682
42,93.0318046591,142.132210569,653.727950234,23.9897253521,23.9897253521,587.957813822
43,90.9315770971,134.700178833,613.243783173,71.89994269,71.89994269,667.929313758
44,87.6361203363,117.916063101,590.209143255,40.2210116199,40.2210116199,916.980757674
45,87.1041365109,105.796857768,625.291563018,22.6924651794,22.6924651794,1013.10592458
46,85.2112651,94.9170325951,704.74652416,-77.9098965566,-77.9098965566,922.998910071
47,84.9741117266,92.9951111186,734.036803778,-113.538194823,-113.538194823,864.717089028
48,84.4265808122,92.9859038566,732.149148644,-102.442699891,-102.442699891,865.057626297
49,84.5366306459,93.4801271217,716.384474429,-84.9521857735,-84.9521857735,874.822552703
50,84.9404542456,95.540927701,692.250767822,-55.7211905875,-55.7211905875,992.441627693
51,86.9879248227,108.59452547,604.221634822,75.1410704154,75.1410704154,1424.40982942
52,89.7745113913,126.647549337,565.247469092,132.850216272,132.850216272,1922.0574267
53,92.2301374779,150.740259681,641.027265399,278.552303956,278.552303956,1372.08140136
54,96.6539935394,163.128396567,680.979865657,197.830905488,197.830905488,989.966928357
55,98.3990457368,167.912260619,743.580689272,178.773033185,178.773033185,831.61596892
56,99.2682697592,170.809518011,794.288328475,162.35131039,162.35131039,738.415971434
