,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,108.745045618,188.546002478,976.330154713,-175.348619056,-175.348619056,535.894297646
9,108.059935965,188.52048735,958.240804552,-138.396847474,-138.396847474,500.081614296
10,108.693055973,188.427166965,908.013445201,-105.327228812,-105.327228812,460.159573743
11,106.505432409,190.325959229,955.547206357,-180.8262884,-180.8262884,549.774610267
12,101.307218167,191.880483768,977.062119309,-177.331782486,-177.331782486,559.684141414
13,98.0678119759,193.073290856,837.669957084,-108.48011303,-108.48011303,483.926474552
14,97.2982293737,192.964893062,795.92316226,-106.222267009,-106.222267009,477.083802529
15,97.938509509,192.702238116,786.643531083,-110.855584143,-110.855584143,484.377774279
16,99.1011208657,191.60499945,833.025956413,-101.898587949,-101.898587949,491.278625799
17,99.9563078828,191.158873835,842.683319062,-62.3252114431,-62.3252114431,501.970952526
18,100.33913774,191.491923473,861.66191689,-41.0595648604,-41.0595648604,514.439744695
19,101.545912008,191.884943791,880.65712931,-15.6854513697,-15.6854513697,520.509266852
20,103.274237388,191.726315229,895.030336583,7.75226056329,7.75226056329,515.080563237
21,105.479854237,192.537205655,904.038350441,31.0521144809,31.0521144809,491.455156523
22,106.953919449,192.902974567,894.073069495,49.3540166534,49.3540166534,496.242913676
23,107.263334694,192.947909363,896.336999015,73.4051232029,73.4051232029,495.42366264
24,107.656725458,192.91194175,901.967377943,90.9939822259,90.9939822259,487.832580483
25,107.826675054,192.8172898,898.043379055,92.8584347416,92.8584347416,484.254938744
26,108.258118917,192.458608015,881.646868076,99.3008000095,99.3008000095,471.167466856
27,107.161519282,191.456182417,884.02377811,93.5697904781,93.5697904781,460.708661277
28,105.223566449,190.839215406,890.313871391,86.3411642537,86.3411642537,437.258113363
29,99.198697704,187.072018944,940.580789884,33.1818197297,33.1818197297,447.009646378
30,95.6857394775,183.114828994,960.414796477,12.9479521996,12.9479521996,547.274900596
31,98.3428359366,183.559713755,941.156750075,-30.6338193897,-30.6338193897,474.070795044
32,98.6496324352,184.06084052,937.991937069,-34.4342082334,-34.4342082334,452.056397694
33,99.8473285549,183.428158654,955.01014463,-48.929639496,-48.929639496,467.740411576
34,101.443932445,183.444461143,957.647130636,-45.421658772,-45.421658772,482.143372007
35,102.581750091,183.237663272,951.466052669,-48.0826425948,-48.0826425948,493.724156327
36,103.874374884,183.110575805,931.661784342,-49.2264646655,-49.2264646655,505.196949536
37,108.692777916,181.237107428,850.287800287,-49.2766194697,-49.2766194697,493.756885504
38,111.52482454,180.295824318,699.300400055,-68.7114032203,-68.7114032203,571.504924753
39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56,98.8619586255,76.0298121166,1300.99386827,241.880439071,241.880439071,1181.29386921
57,90.8951447692,80.3722258263,1075.21329619,95.3249617766,95.3249617766,929.985603879
58,84.4603020686,84.5729901269,754.501304717,-38.7615888087,-38.7615888087,582.433201886
59,83.2245994405,86.1750858342,659.901139255,-53.7028144525,-53.7028144525,517.272451876
60,83.2264238648,86.5714134264,641.755793841,-57.289236151,-57.289236151,492.560027036
61,84.0740433673,86.4921875,668.505679294,-64.8471734495,-64.8471734495,490.435207822
