,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,143.536453067,123.224637681,936.442891924,-430.701413159,-430.701413159,1026.6167954
9,141.425650558,125.344156599,983.071146023,-389.806119088,-389.806119088,878.563229324
10,134.64679784,130.480696418,962.851396772,-363.14951339,-363.14951339,840.35292474
11,129.641201296,133.412216618,973.202522291,-323.366157979,-323.366157979,762.744218955
12,123.840678348,135.436012103,982.668548493,-281.087279797,-281.087279797,705.690991905
13,120.407088455,136.377226242,936.12779291,-251.313234353,-251.313234353,659.624309378
14,116.436227024,138.11199081,1019.02704429,-275.291634714,-275.291634714,651.896705208
15,115.649089152,140.780320115,997.779085515,-189.512051006,-189.512051006,611.293771094
16,108.712823158,145.272009592,910.406575198,-131.095802941,-131.095802941,573.162535475
17,105.364541845,148.314609503,886.003698146,-96.6534859441,-96.6534859441,574.185064319
18,104.13510885,149.545580331,973.484989408,-118.625950484,-118.625950484,596.595250647
19,102.110639653,149.474146279,948.820035606,-110.589207596,-110.589207596,606.751371321
20,102.277296556,152.645239167,985.407036089,-107.264065053,-107.264065053,668.342093445
21,101.070075642,158.73177338,894.700817024,-79.6608951678,-79.6608951678,774.704908324
22,101.23005595,162.741880459,729.267988197,72.149826123,72.149826123,775.759098555
23,98.3283114154,159.70991391,672.799760744,76.9950453807,76.9950453807,790.456669254
24,97.3490999653,156.622801087,623.011234249,67.0939481406,67.0939481406,736.412304031
25,98.3579642857,154.015505952,595.70061257,91.1053214466,91.1053214466,724.740278423
26,98.4791259538,152.481882794,664.256765627,70.2892528461,70.2892528461,756.409627634
27,98.5894802889,151.928749388,720.204696286,72.4200003417,72.4200003417,710.989901701
28,98.4134536326,150.864937338,753.450422576,89.0625537039,89.0625537039,706.9894361
29,96.8214323062,148.959777026,814.86013389,155.91220305,155.91220305,734.832056309
30,97.1909663065,145.665858702,824.181187215,163.663108062,163.663108062,769.354497361
31,97.6675045122,144.404609982,859.943146033,168.417447043,168.417447043,789.823319136
32,100.033905558,145.225904903,848.615117019,123.763462321,123.763462321,834.755697485
33,98.4551610174,146.097811281,832.08031296,233.938786925,233.938786925,868.541667751
34,95.9895329176,139.876275906,908.396589598,323.418881347,323.418881347,918.271485201
35,94.965850914,140.121061538,881.43517091,262.761663175,262.761663175,786.759899289
36,95.4766832496,154.49530284,887.637305088,111.767580296,111.767580296,702.091434694
37,84.5324535193,173.162350598,541.737825591,598.822876902,598.822876902,3601.19044275
38,96.7997403997,160.121326411,629.470354577,476.247785709,476.247785709,3360.71270057
39,109.363057544,154.788098844,656.365287778,328.971136609,328.971136609,2412.12021683
40,119.113228588,135.205714711,534.740872793,23.6873287442,23.6873287442,698.493789714
41,114.069213107,125.055290707,681.289789469,62.9985616624,62.9985616624,855.865551892
42,109.763246879,132.962927319,555.858332877,-29.1164650932,-29.1164650932,530.408893412
43,108.836544381,134.280494459,545.747677429,-20.1874317702,-20.1874317702,547.793476589
44,110.75174685,134.59871134,573.47820528,-12.3272844041,-12.3272844041,563.537851573
45,111.100222386,135.015128796,576.076995042,-14.8654041671,-14.8654041671,587.416761138
46,111.509618858,135.173365246,580.315780347,-14.8341955743,-14.8341955743,592.858207173
47,111.1048851,135.396198039,575.521432054,-19.0820558562,-19.0820558562,601.308166434
48,110.625239937,136.107731794,570.522313282,-26.6191773801,-26.6191773801,634.776428539
49,108.495984101,137.315542763,614.116624127,-27.6772484371,-27.6772484371,658.790099335
50,110.268100281,140.632847958,630.116798407,-32.1256519649,-32.1256519649,809.284302928
51,110.6985649,137.713185532,692.177347948,-154.82652349,-154.82652349,1052.11639773
52,97.3978454884,147.537044642,709.787619916,11.0877655154,11.0877655154,460.107184688
53,96.5777913701,148.385147909,748.879254959,7.31023009758,7.31023009758,444.101263586
54,96.7247309312,148.477441117,765.507795247,9.56167161299,9.56167161299,449.718334711
55,97.3734073553,148.254134847,766.336045238,13.1056065904,13.1056065904,452.654312179
56,98.1795111427,147.820596989,755.135491262,15.7653697967,15.7653697967,458.953446944
57,98.816828277,147.076642238,743.581408478,12.6340543719,12.6340543719,468.235601088
58,99.3129643467,146.679205807,729.599604489,12.7893088658,12.7893088658,472.521174067
59,99.5294815353,146.389233202,721.939976428,9.61530395789,9.61530395789,477.777781298
