,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,68.7184100622,306.818339646,1119.26062167,176.929123807,176.929123807,456.166653294
9,69.9548628936,305.758058479,1123.88766355,150.429461689,150.429461689,460.124692756
10,70.0970838689,305.000642674,1088.54524314,125.881986932,125.881986932,452.076800073
11,71.1125677853,304.429753812,1068.38341661,120.863596019,120.863596019,445.448471456
12,71.5269877436,304.028018935,1027.98473778,107.126895466,107.126895466,435.770537042
13,72.2165778499,303.505329008,1009.48504978,89.5768501798,89.5768501798,434.283722988
14,73.010144833,303.340268976,1020.34118294,82.8750896326,82.8750896326,438.187318792
15,74.4264179318,302.813878545,1033.38824179,68.6281516904,68.6281516904,443.387087103
16,75.0428713528,301.66637931,1017.59388586,45.5572238578,45.5572238578,451.221722108
17,78.6159937888,299.589425466,1063.72226073,17.9252327915,17.9252327915,493.174426446
18,81.2886449516,297.823333585,1081.72871275,4.78014290139,4.78014290139,536.584135353
19,86.3260901653,293.925118787,1103.08277228,-24.0228857289,-24.0228857289,617.095970361
20,91.8910763738,288.917317143,1092.44610458,2.89064635947,2.89064635947,672.636494394
21,96.2014027137,282.503018912,1021.89482274,19.8441144525,19.8441144525,740.251209929
22,95.9919952114,277.243130334,994.433730715,38.2551685918,38.2551685918,738.66514988
23,97.2777922566,275.153004388,983.104850378,23.5132083578,23.5132083578,730.223223827
24,98.2817856787,273.988127865,1086.50339756,10.1966101723,10.1966101723,760.152304242
25,97.3120533824,271.868565398,1141.30711036,-34.0356613619,-34.0356613619,714.622391545
26,96.0784195975,271.292335176,1307.09862611,-80.1045018857,-80.1045018857,779.976304651
27,92.2899356011,270.09381605,1364.79344,-190.340427165,-190.340427165,864.641604106
28,88.1706578863,264.842859331,1328.55921436,-193.902146789,-193.902146789,1019.9296741
29,90.4621183886,258.646102055,1551.34845741,-367.097581506,-367.097581506,1150.94288419
30,88.4321656341,249.728539541,1663.36353908,-515.913556021,-515.913556021,1178.13372184
31,80.190332146,249.880494455,1124.79705446,-315.519874149,-315.519874149,1083.28275508
32,81.7105654762,251.606792717,1080.53482985,-220.254804787,-220.254804787,1068.98523497
33,83.4919161914,251.087361375,1090.17186214,-156.875293867,-156.875293867,1030.21147941
34,85.2242673445,249.081519139,1017.34580265,-110.088714198,-110.088714198,970.802685774
35,87.6133984289,248.255778547,948.540486443,-25.1162766858,-25.1162766858,936.254642792
36,88.970602023,247.165688385,927.877712055,-18.4827162507,-18.4827162507,890.563838899
37,88.56011183,248.454471928,942.904898369,-69.5352828901,-69.5352828901,926.789310404
38,87.9258432001,246.337375081,1012.59662946,-160.648587551,-160.648587551,920.965760306
39,88.7757536367,243.807995462,1198.67658326,-313.288919959,-313.288919959,1001.76904939
40,85.8351588656,241.496253702,1348.97672761,-525.502913208,-525.502913208,1120.52073445
41,86.7199042859,240.209607323,1687.48323756,-746.720212993,-746.720212993,1308.52421994
42,87.5260569084,236.306072324,1849.88435548,-836.492026955,-836.492026955,1365.10003938
43,86.5643673854,232.361952475,1916.09925902,-838.661668777,-838.661668777,1301.42731547
44,86.4265266724,229.781356595,1789.31274034,-779.635376449,-779.635376449,1231.21951769
45,86.2168215613,227.649523699,1618.24090763,-667.181670659,-667.181670659,1104.06951169
46,86.069634568,225.606639589,1472.56181435,-563.606998912,-563.606998912,968.786824339
47,85.3493937078,224.657521902,1282.56967707,-452.732919473,-452.732919473,910.7274864
48,85.6183872768,221.293948103,1112.86242518,-336.926494749,-336.926494749,751.959117276
49,86.2671409013,218.921327024,1079.83482834,-233.203841246,-233.203841246,602.202532066
50,86.0794898739,217.713839011,966.601328626,-168.772054681,-168.772054681,523.011445097
51,86.1820631215,216.824038083,895.632350161,-135.436918932,-135.436918932,491.466803764
52,85.7151360246,216.341940112,870.383662208,-121.825122539,-121.825122539,480.545768151
53,86.2088025567,216.500122353,884.031218841,-116.655482242,-116.655482242,515.330954555
54,86.5912245312,216.069647525,887.278931857,-106.464734541,-106.464734541,519.292876383
55,89.2763686136,214.21403338,895.24869091,-101.844564488,-101.844564488,534.465461081
56,92.3763767556,211.639256082,909.780618854,-104.227750541,-104.227750541,582.74586539
57,96.9488256002,204.401318675,759.802729018,-121.265260311,-121.265260311,581.714264612
