,0,1,2,3,4,5
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,129.337208313,140.543230843,3700.42322443,-5776.73420789,-5776.73420789,12174.9456516
23,137.704708134,137.184927852,3399.15209888,-5455.4911858,-5455.4911858,11830.2970904
24,142.266334437,134.835678416,3009.89713883,-4965.75063791,-4965.75063791,11334.1917459
25,137.380615533,154.394564653,2805.10221243,-5014.72602721,-5014.72602721,12694.6115099
26,124.321418586,187.695028783,2757.18915409,-5105.86819369,-5105.86819369,13465.6668332
27,106.861741334,231.244240055,2324.97840328,-3965.29615543,-3965.29615543,10790.1838524
28,96.4722764599,256.427796533,1749.02960649,-2528.0073302,-2528.0073302,7236.33623839
29,92.6955280955,248.019420615,1182.97775787,-1397.98656382,-1397.98656382,6894.67895958
30,83.0638786765,202.877398981,839.47142898,-218.812442964,-218.812442964,7901.68137869
31,77.4269021109,177.540173394,640.542268462,171.161890429,171.161890429,6617.15258566
32,73.8693822828,160.595686573,531.073131352,248.461526765,248.461526765,5144.24976325
33,73.0342373796,146.910061676,528.000435161,158.06121641,158.06121641,3528.78241265
34,71.9586713525,136.622566191,518.014732325,63.8664459569,63.8664459569,2048.58739725
35,71.8924911548,128.641903789,540.044130164,29.0990895948,29.0990895948,759.065440656
36,72.0914041731,127.498297453,551.625684303,11.0929788161,11.0929788161,434.896005888
37,73.2836712078,128.671354196,567.890886739,13.4827323836,13.4827323836,450.001372276
38,76.4541105769,130.650285027,682.23253115,42.2079198449,42.2079198449,476.853919531
39,80.5364801804,132.485410549,819.668474098,65.4161589735,65.4161589735,470.737300382
40,90.981238657,139.087794918,1207.27426335,185.804448875,185.804448875,588.203318461
41,109.209681373,166.253538603,1432.64206413,-290.572195717,-290.572195717,1395.49057518
42,116.310495645,191.470049949,1492.39401994,-1291.12698074,-1291.12698074,2245.28173719
43,120.762662216,189.95169053,1533.52403562,-1485.09203731,-1485.09203731,2486.59324715
44,133.572256624,171.911830357,991.624762699,-824.589708508,-824.589708508,1685.9544751
45,139.177402952,162.645412018,674.719851252,-313.472049717,-313.472049717,952.073027661
46,138.809720092,160.780250329,633.865867848,-219.016630446,-219.016630446,819.006227405
47,134.041055994,160.6694969,760.261186507,-161.819464736,-161.819464736,691.092725202
48,128.941079149,160.128332638,805.74538685,-90.5493635924,-90.5493635924,673.180252191
49,124.17768819,159.904386167,816.457581546,-67.4595771564,-67.4595771564,650.635277348
50,117.200270535,158.908781385,872.814375359,-11.9995826557,-11.9995826557,645.793014378
51,109.991235845,162.800918673,983.657256396,30.3964247455,30.3964247455,536.531130186
52,106.423942827,163.962775923,996.177848291,64.0116101781,64.0116101781,497.200246052
53,102.929401193,164.744033076,1034.16168543,84.2593645556,84.2593645556,482.28483901
54,97.258037969,166.156909497,1068.48587276,96.2672286315,96.2672286315,473.657959549
55,95.9299288975,165.975750527,1082.5796021,90.2397860655,90.2397860655,470.849680695
56,99.2403293995,166.637067056,1047.82843942,68.3251846612,68.3251846612,651.437930479
57,104.277746196,164.972598172,987.111615266,8.38768607704,8.38768607704,514.251474864
58,106.948143154,164.676617972,915.737496801,-12.0211993536,-12.0211993536,533.124701435
59,107.842452225,165.119622766,888.233736739,-28.8603805152,-28.8603805152,549.599399203
60,109.078764182,165.950902844,851.10322214,-17.2358086178,-17.2358086178,552.712075928
